epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.496,1.52825,1.64335,1.19448,0.31026,0.31489,0.27104,0.12412,1.80961,1.39809,1.2793,0.000369786,0.000369786,0.000369786
2,680.441,1.61184,1.25025,1.23114,0.25421,0.40493,0.30653,0.14346,1.86164,1.43071,1.28189,0.000728846,0.000728846,0.000728846
3,1010.02,1.56623,1.16975,1.21161,0.62443,0.31394,0.34183,0.16891,1.80744,1.36113,1.26052,0.00107663,0.00107663,0.00107663
4,1338.18,1.50522,1.06155,1.18242,0.7458,0.30794,0.3705,0.19279,1.73978,1.25182,1.22906,0.00106024,0.00106024,0.00106024
5,1666.08,1.44923,0.99155,1.1601,0.47431,0.32539,0.34086,0.18962,1.64811,1.28921,1.19159,0.00104331,0.00104331,0.00104331
6,1993.5,1.4092,0.93694,1.13947,0.40056,0.38377,0.36387,0.19881,1.60658,1.3859,1.16904,0.00102639,0.00102639,0.00102639
7,2321.69,1.37068,0.88421,1.12387,0.7325,0.38416,0.42574,0.23725,1.69635,1.07687,1.21028,0.00100947,0.00100947,0.00100947
8,2649.43,1.35665,0.86478,1.11992,0.5429,0.44424,0.48752,0.2676,1.66988,1.13355,1.17793,0.00099255,0.00099255,0.00099255
9,2977.15,1.32545,0.83742,1.10963,0.52246,0.39079,0.46187,0.26366,1.59897,1.00485,1.15724,0.000975629,0.000975629,0.000975629
10,3304.56,1.29372,0.7993,1.09197,0.44725,0.36253,0.39104,0.21133,1.81619,1.43252,1.23188,0.000958708,0.000958708,0.000958708
11,3631.72,1.28159,0.77844,1.09134,0.6257,0.37305,0.47032,0.27248,1.51639,1.05311,1.13056,0.000941786,0.000941786,0.000941786
12,3959.59,1.27221,0.76124,1.08708,0.71219,0.38323,0.40465,0.22862,1.55209,1.04049,1.14095,0.000924865,0.000924865,0.000924865
13,4286.79,1.24462,0.74147,1.07381,0.52269,0.38462,0.40889,0.22622,1.63201,1.12382,1.15712,0.000907943,0.000907943,0.000907943
14,4614.16,1.23764,0.72517,1.06918,0.5488,0.45161,0.49728,0.29434,1.52496,0.93004,1.12732,0.000891022,0.000891022,0.000891022
15,4942.16,1.22063,0.70976,1.06193,0.56735,0.38235,0.4287,0.26226,1.42011,0.99193,1.09818,0.000874101,0.000874101,0.000874101
16,5269.25,1.21916,0.70878,1.06146,0.55301,0.39666,0.45034,0.27404,1.48733,0.96882,1.11794,0.000857179,0.000857179,0.000857179
17,5596.19,1.1857,0.68149,1.04585,0.5098,0.51284,0.50431,0.3016,1.51166,0.92932,1.13169,0.000840258,0.000840258,0.000840258
