epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.503,1.52154,3.42364,0.00253,0.51046,0.27745,0.34016,0.16694,1.81696,1.44514,0.0042,0.000369786,0.000369786,0.000369786
2,422.319,1.58438,1.1458,0.00264,0.36945,0.33586,0.32093,0.16002,1.84281,1.49549,0.00437,0.000728846,0.000728846,0.000728846
3,623.606,1.59859,1.06606,0.0027,0.44522,0.40955,0.40915,0.21568,1.73127,1.26886,0.00417,0.00107663,0.00107663,0.00107663
4,829.656,1.5482,0.96986,0.00259,0.7771,0.29718,0.36523,0.19151,1.78151,1.39418,0.0044,0.00106024,0.00106024,0.00106024
5,1030.33,1.51828,0.94861,0.00252,0.7979,0.31804,0.44312,0.2343,1.68344,1.07506,0.00405,0.00104331,0.00104331,0.00104331
6,1236.22,1.47311,0.85105,0.00246,0.45948,0.39273,0.38327,0.21408,1.64478,1.13292,0.00392,0.00102639,0.00102639,0.00102639
7,1436.75,1.46583,0.82699,0.0024,0.51473,0.37136,0.401,0.22467,1.61127,1.11056,0.00386,0.00100947,0.00100947,0.00100947
8,1643.01,1.42385,0.79767,0.00234,0.53477,0.40915,0.46612,0.26782,1.66789,1.10501,0.00397,0.00099255,0.00099255,0.00099255
9,1849.36,1.40981,0.77454,0.0023,0.471,0.43899,0.44804,0.23955,1.70698,1.26249,0.00402,0.000975629,0.000975629,0.000975629
10,2050.58,1.38168,0.74636,0.00225,0.46311,0.4881,0.45851,0.27577,1.50379,1.00992,0.00359,0.000958708,0.000958708,0.000958708
11,2265.37,1.36611,0.73373,0.00221,0.75987,0.33475,0.40354,0.24207,1.51154,1.17175,0.00361,0.000941786,0.000941786,0.000941786
12,2466.07,1.37149,0.71917,0.00222,0.56034,0.36535,0.41041,0.24147,1.46336,1.03289,0.00347,0.000924865,0.000924865,0.000924865
13,2667.66,1.35135,0.68921,0.00218,0.50997,0.4396,0.4696,0.2692,1.61223,1.04783,0.00382,0.000907943,0.000907943,0.000907943
14,2868.16,1.33607,0.68347,0.00213,0.39778,0.52917,0.49196,0.30975,1.47123,0.95158,0.00351,0.000891022,0.000891022,0.000891022
15,3073.27,1.32413,0.66175,0.00211,0.51355,0.36397,0.39857,0.23472,1.59297,1.14186,0.00371,0.000874101,0.000874101,0.000874101
16,3273.6,1.31985,0.65074,0.00211,0.81161,0.35765,0.42812,0.2505,1.44591,1.0513,0.00345,0.000857179,0.000857179,0.000857179
17,3473.72,1.28974,0.63258,0.00205,0.59396,0.36995,0.40164,0.25311,1.40821,1.11864,0.00335,0.000840258,0.000840258,0.000840258
18,3673.45,1.29009,0.62375,0.00205,0.48961,0.37996,0.38978,0.22909,1.56706,1.08448,0.00371,0.000823336,0.000823336,0.000823336
19,3873.27,1.28146,0.61258,0.00201,0.55239,0.46579,0.45814,0.27785,1.5384,0.99107,0.00369,0.000806415,0.000806415,0.000806415
20,4072.81,1.26058,0.60278,0.002,0.71901,0.40464,0.44029,0.27958,1.41631,1.04497,0.00336,0.000789494,0.000789494,0.000789494
21,4272.32,1.26646,0.58938,0.002,0.80651,0.35841,0.45148,0.28675,1.54496,1.00932,0.00364,0.000772572,0.000772572,0.000772572
22,4471.86,1.24824,0.56971,0.00197,0.57126,0.35031,0.44807,0.2798,1.39189,0.94197,0.00331,0.000755651,0.000755651,0.000755651
23,4671.05,1.24688,0.57752,0.00195,0.51752,0.44556,0.46185,0.28417,1.43891,0.92064,0.00339,0.00073873,0.00073873,0.00073873
24,4870.09,1.24109,0.559,0.00196,0.78714,0.41344,0.44514,0.27073,1.47627,1.00703,0.00353,0.000721808,0.000721808,0.000721808
25,5069.84,1.22645,0.55515,0.0019,0.57832,0.36199,0.43308,0.26941,1.4437,0.96735,0.00346,0.000704887,0.000704887,0.000704887
26,5269.92,1.21339,0.53503,0.0019,0.81157,0.38737,0.46716,0.29736,1.3962,0.95537,0.0033,0.000687965,0.000687965,0.000687965
27,5471.66,1.19667,0.53421,0.00189,0.56085,0.41318,0.47425,0.28724,1.45632,0.98755,0.00346,0.000671044,0.000671044,0.000671044
28,5673.35,1.18841,0.51522,0.00186,0.52846,0.44506,0.47336,0.31338,1.38971,0.93081,0.00328,0.000654123,0.000654123,0.000654123
29,5879.3,1.19016,0.52156,0.00185,0.57698,0.41578,0.51663,0.32028,1.34266,0.91534,0.00324,0.000637201,0.000637201,0.000637201
